,Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,Spent,Living_With,Children,Family_Size,Is_Parent
461,Postgraduate,55842.0,0,1,19,451,0,39,0,4,24,1,7,1,8,5,0,0,0,0,0,0,0,3196800000000000,44,518,Partner,1,3,1
462,Postgraduate,62010.0,0,1,93,371,22,39,6,0,92,4,6,2,7,5,0,0,0,0,0,0,0,53049600000000000,49,530,Partner,1,3,1
463,Graduate,41124.0,1,0,41,281,7,84,15,0,119,7,7,3,4,8,0,0,0,0,0,0,0,52358400000000000,44,506,Partner,1,3,1
464,Postgraduate,38961.0,1,0,60,19,7,19,0,1,24,1,2,1,2,7,0,0,0,0,0,0,0,15638400000000000,48,70,Partner,1,3,1
465,Postgraduate,37760.0,1,0,54,26,3,13,2,10,0,1,2,0,3,6,0,0,0,0,0,0,0,27820800000000000,49,54,Alone,1,2,1
466,Graduate,32233.0,1,0,26,138,15,35,25,11,72,2,6,2,2,9,1,0,0,0,0,0,1,58665600000000000,47,296,Alone,1,2,1
467,Graduate,43057.0,0,1,30,213,2,44,0,2,5,4,4,2,5,5,0,0,0,0,0,0,0,20908800000000000,46,266,Partner,1,3,1
468,Postgraduate,83151.0,0,0,93,407,28,100,120,74,18,1,5,9,4,3,0,0,0,0,0,0,0,54172800000000000,61,747,Partner,0,2,0
469,Postgraduate,78825.0,0,0,35,483,74,114,169,37,18,1,5,10,13,3,0,0,0,0,0,0,1,56419200000000000,57,895,Alone,0,1,0
470,Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,0,19612800000000000,45,1053,Partner,1,3,1
471,Graduate,60093.0,0,1,92,502,12,109,16,6,90,2,7,2,10,6,0,0,0,0,0,0,0,31795200000000000,47,735,Partner,1,3,1
472,Graduate,14045.0,1,0,24,11,0,5,2,1,1,1,1,0,3,7,0,0,0,0,0,0,0,13305600000000000,52,20,Partner,1,3,1
473,Undergraduate,28457.0,0,0,96,24,1,108,29,29,14,1,4,1,4,8,0,0,0,0,0,0,0,52617600000000000,69,205,Alone,0,1,0
474,Postgraduate,78952.0,0,1,11,1170,19,594,99,76,134,2,2,5,12,6,0,0,0,0,0,0,0,55555200000000000,63,2092,Partner,1,3,1
475,Graduate,46310.0,1,0,99,185,2,88,15,5,14,2,6,1,5,8,0,0,0,0,0,0,0,49507200000000000,45,309,Alone,1,2,1
476,Graduate,76005.0,0,0,72,983,20,389,240,50,40,1,3,5,13,6,0,0,0,1,0,0,0,42508800000000000,66,1722,Partner,0,2,0
477,Postgraduate,58308.0,0,1,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,0,46051200000000000,57,900,Alone,1,2,1
478,Postgraduate,55614.0,0,0,85,504,13,131,8,0,26,1,9,4,6,7,0,1,0,0,0,0,0,18489600000000000,77,682,Alone,0,1,0
479,Postgraduate,59432.0,0,1,88,317,25,265,25,19,12,3,5,3,11,5,0,0,0,0,0,0,0,38188800000000000,59,663,Alone,1,2,1
480,Graduate,55563.0,0,1,22,29,1,9,2,0,2,1,2,0,3,3,0,0,0,0,0,0,0,7344000000000000,43,43,Alone,1,2,1
481,Postgraduate,78642.0,0,1,83,1396,0,322,46,35,17,1,4,9,4,6,0,0,0,0,0,0,0,37497600000000000,50,1816,Partner,1,3,1
482,Postgraduate,67911.0,0,1,63,529,0,356,63,28,0,3,6,7,11,3,0,0,0,0,0,0,0,3283200000000000,72,976,Partner,1,3,1
483,Graduate,65275.0,0,0,9,388,14,218,91,14,21,1,4,3,13,2,0,0,0,0,0,0,0,39052800000000000,77,746,Partner,0,2,0
484,Graduate,27203.0,1,1,92,13,2,21,4,0,24,2,1,1,2,8,0,0,0,0,0,0,0,59788800000000000,71,64,Partner,2,4,1
485,Postgraduate,48330.0,0,1,2,28,0,4,0,0,0,1,1,0,3,5,0,0,0,0,0,0,0,19526400000000000,60,32,Partner,1,3,1
486,Undergraduate,24279.0,0,0,6,16,36,21,20,62,108,1,4,1,3,8,0,0,0,0,0,0,0,47260800000000000,31,263,Partner,0,2,0
487,Postgraduate,64355.0,1,0,66,1047,0,140,67,38,153,2,4,3,12,8,0,0,0,0,0,0,0,58233600000000000,36,1445,Partner,1,3,1
488,Postgraduate,50943.0,0,1,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,0,32227200000000000,65,46,Partner,1,3,1
489,Graduate,53653.0,0,0,29,815,10,239,28,10,108,2,10,4,12,6,0,0,0,0,0,0,0,51753600000000000,68,1210,Alone,0,1,0
490,Graduate,65665.0,0,1,77,225,162,387,106,36,29,1,5,10,8,3,0,0,0,0,0,0,0,18057600000000000,45,945,Partner,1,3,1
491,Graduate,81217.0,0,0,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,0,29808000000000000,32,1157,Alone,0,1,0
492,Graduate,34935.0,0,0,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,0,32227200000000000,29,137,Partner,0,2,0
493,Graduate,61250.0,0,1,49,382,138,65,60,26,59,6,5,2,12,5,0,0,0,0,0,0,0,48384000000000000,62,730,Alone,1,2,1
494,Postgraduate,39665.0,1,0,97,127,1,56,0,1,31,3,4,2,3,7,1,0,0,0,0,0,0,34560000000000000,40,216,Partner,1,3,1
495,Graduate,60152.0,0,1,6,325,83,300,86,58,91,1,6,4,12,3,0,0,0,0,0,0,0,39571200000000000,42,943,Alone,1,2,1
496,Graduate,48920.0,0,2,93,238,17,68,8,10,6,3,6,2,5,7,0,1,0,0,0,0,0,21772800000000000,57,347,Partner,2,4,1
497,Postgraduate,89120.0,0,0,78,1168,92,408,72,129,55,1,5,6,7,1,0,0,1,0,0,0,0,8985600000000000,62,1924,Partner,0,2,0
498,Postgraduate,44124.0,0,1,62,284,0,55,0,6,52,4,6,2,5,8,0,0,0,0,0,0,0,35769600000000000,75,397,Partner,1,3,1
499,Postgraduate,81169.0,0,0,47,1288,20,613,80,61,27,1,5,7,9,2,0,0,0,0,0,0,0,38102400000000000,46,2089,Alone,0,1,0
500,Graduate,36443.0,1,1,9,65,0,46,4,3,20,4,3,1,3,8,0,0,0,0,0,0,0,44150400000000000,60,138,Partner,2,4,1
501,Graduate,26095.0,1,0,77,11,7,9,3,1,11,1,1,0,3,7,0,0,0,0,0,0,0,31449600000000000,31,42,Alone,1,2,1
502,Graduate,71367.0,0,0,24,227,23,389,42,21,75,1,4,5,7,2,0,0,0,0,0,0,0,26784000000000000,62,777,Partner,0,2,0
503,Postgraduate,80184.0,0,0,19,1035,134,670,25,38,0,1,6,3,10,3,0,0,1,1,0,0,0,10368000000000000,77,1902,Partner,0,2,0
504,Graduate,30630.0,1,1,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,0,13219200000000000,56,52,Alone,2,3,1
505,Postgraduate,73454.0,0,0,95,982,73,351,56,14,175,1,2,4,6,5,1,0,0,0,0,0,0,10368000000000000,34,1651,Alone,0,1,0
506,Graduate,42691.0,0,0,48,179,2,64,38,17,58,1,5,1,6,5,0,0,0,0,0,0,0,27388800000000000,30,358,Partner,0,2,0
507,Graduate,70503.0,0,0,73,1379,33,216,0,33,66,1,2,4,9,6,0,1,1,0,0,0,0,55036800000000000,68,1727,Partner,0,2,0
508,Graduate,25545.0,1,0,35,32,1,64,16,12,85,3,2,2,3,6,0,0,0,0,0,0,1,56937600000000000,34,210,Partner,1,3,1
509,Graduate,32880.0,1,0,76,8,4,15,7,6,2,1,1,0,3,8,0,0,0,0,0,0,0,49420800000000000,35,42,Partner,1,3,1
510,Postgraduate,77863.0,0,0,20,881,38,319,16,25,12,1,4,5,10,2,0,0,0,0,0,0,0,18489600000000000,63,1291,Partner,0,2,0
511,Postgraduate,50353.0,0,0,72,141,15,153,67,31,35,1,4,4,6,3,0,0,0,0,0,0,0,1814400000000000,44,442,Partner,0,2,0
512,Graduate,61839.0,0,0,20,1000,155,379,224,17,120,1,4,8,4,8,0,0,0,0,0,0,0,59270400000000000,57,1895,Alone,0,1,0
513,Postgraduate,49154.0,1,1,69,206,10,67,30,27,71,6,4,1,8,6,0,0,0,0,0,0,0,20563200000000000,61,411,Partner,2,4,1
514,Undergraduate,47682.0,0,1,80,162,61,83,97,57,61,4,4,3,8,5,0,0,0,0,0,0,0,43113600000000000,46,521,Alone,1,2,1
515,Graduate,72679.0,0,1,65,619,54,260,127,54,54,1,4,7,5,1,0,0,0,0,0,0,0,24537600000000000,52,1168,Alone,1,2,1
516,Postgraduate,57954.0,1,1,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,0,950400000000000,44,493,Partner,2,4,1
517,Graduate,65316.0,1,1,65,112,6,92,3,9,38,2,3,2,5,4,0,0,0,0,0,0,0,37238400000000000,59,260,Partner,2,4,1
518,Graduate,28567.0,1,0,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,32572800000000000,39,46,Alone,1,2,1
519,Postgraduate,47352.0,0,1,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,0,38361600000000000,70,319,Partner,1,3,1
520,Graduate,44931.0,0,1,0,78,0,11,0,0,7,1,2,1,3,5,0,0,0,0,0,0,0,13996800000000000,54,96,Partner,1,3,1
521,Graduate,76982.0,0,0,19,464,151,292,65,60,30,1,8,3,4,4,0,0,1,0,0,0,1,11577600000000000,54,1062,Alone,0,1,0
522,Undergraduate,57247.0,0,1,50,99,4,32,37,54,6,2,2,1,7,2,0,0,0,0,0,0,0,28080000000000000,69,232,Partner,1,3,1
523,Postgraduate,22944.0,1,0,67,19,3,19,4,5,26,3,3,0,3,7,0,0,0,0,0,0,0,16243200000000000,40,76,Alone,1,2,1
524,Undergraduate,25315.0,1,0,46,1,9,8,11,3,22,3,3,0,3,8,0,0,0,0,0,0,0,20217600000000000,44,54,Partner,1,3,1
525,Graduate,43638.0,0,1,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,0,59788800000000000,52,201,Alone,1,2,1
526,Postgraduate,42710.0,1,0,38,252,3,42,4,3,102,2,4,5,3,6,0,0,0,0,0,0,0,49939200000000000,37,406,Alone,1,2,1
527,Postgraduate,84169.0,0,0,9,1478,19,403,0,19,0,1,7,6,6,3,0,1,1,0,0,0,1,28166400000000000,39,1919,Partner,0,2,0
528,Graduate,54058.0,0,1,56,198,18,252,32,108,54,2,4,6,8,3,0,0,0,0,0,0,0,33696000000000000,45,662,Partner,1,3,1
529,Undergraduate,24683.0,1,0,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,0,9763200000000000,31,41,Partner,1,3,1
530,Graduate,85620.0,0,0,68,416,46,925,60,107,46,1,3,6,4,1,0,0,0,0,0,0,1,14947200000000000,57,1600,Alone,0,1,0
531,Graduate,47850.0,1,0,72,42,7,43,20,12,10,1,3,0,4,6,0,0,0,0,0,0,0,17971200000000000,41,134,Partner,1,3,1
532,Graduate,19514.0,1,1,47,14,3,21,2,1,28,4,3,1,2,8,1,0,0,0,0,0,1,13305600000000000,53,69,Partner,2,4,1
533,Postgraduate,27159.0,1,1,33,17,0,3,0,0,1,2,1,0,3,6,0,0,0,0,0,0,0,7948800000000000,48,21,Partner,2,4,1
534,Undergraduate,39548.0,1,1,87,15,4,10,3,4,18,2,1,1,3,3,0,0,0,0,0,0,0,7776000000000000,58,54,Alone,2,3,1
535,Graduate,21474.0,1,0,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,1,7084800000000000,32,91,Alone,1,2,1
536,Postgraduate,60504.0,0,1,73,458,0,24,6,4,34,2,6,2,8,6,0,0,0,0,0,0,0,12268800000000000,50,526,Alone,1,2,1
537,Graduate,22419.0,0,0,74,30,3,47,19,21,42,1,3,2,2,8,0,0,0,0,0,0,0,37756800000000000,58,162,Partner,0,2,0
538,Postgraduate,81698.0,0,0,4,179,28,520,111,123,47,1,3,8,13,1,0,0,0,0,0,0,1,20304000000000000,72,1008,Partner,0,2,0
539,Graduate,43462.0,1,1,50,90,17,97,15,6,15,6,4,1,5,8,0,0,0,0,0,0,0,56592000000000000,69,240,Partner,2,4,1
540,Postgraduate,54880.0,1,0,57,308,85,137,102,45,118,2,6,2,11,5,0,0,0,0,0,0,0,41904000000000000,43,795,Alone,1,2,1
541,Graduate,79908.0,0,0,30,557,129,761,29,185,111,1,5,6,7,2,0,0,1,0,0,0,0,38880000000000000,39,1772,Partner,0,2,0
542,Undergraduate,15315.0,0,0,27,7,4,13,15,8,17,2,2,0,4,5,0,0,0,0,0,0,0,28512000000000000,51,64,Partner,0,2,0
543,Graduate,87771.0,0,1,61,1492,38,287,50,57,33,1,5,10,4,6,0,1,1,1,1,0,1,34819200000000000,62,1957,Partner,1,3,1
544,Graduate,33039.0,1,0,4,30,8,12,8,8,12,1,2,0,4,5,0,0,0,0,0,0,0,25315200000000000,43,78,Partner,1,3,1
545,Graduate,81741.0,0,0,75,249,153,940,58,134,38,0,6,6,7,2,0,0,0,0,0,0,0,32659200000000000,41,1572,Alone,0,1,0
546,Postgraduate,71499.0,0,1,12,465,25,132,136,0,37,2,8,3,13,4,0,0,0,0,0,0,0,31881600000000000,50,795,Partner,1,3,1
547,Undergraduate,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,14256000000000000,51,889,Partner,1,3,1
548,Postgraduate,48799.0,0,1,9,174,18,81,28,6,24,3,3,2,7,3,0,0,0,0,0,0,0,20390400000000000,58,331,Alone,1,2,1
549,Postgraduate,52157.0,0,1,48,189,2,29,3,2,40,2,3,2,5,4,0,0,0,0,0,0,0,1900800000000000,71,265,Partner,1,3,1
550,Graduate,66565.0,0,1,80,747,10,161,65,40,42,4,4,2,9,8,0,0,0,0,0,0,0,49334400000000000,59,1065,Alone,1,2,1
551,Postgraduate,29298.0,1,1,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,0,25488000000000000,70,11,Partner,2,4,1
552,Graduate,47691.0,0,1,43,14,0,3,0,0,4,1,1,0,2,6,0,0,0,0,0,0,0,31017600000000000,42,21,Alone,1,2,1
553,Graduate,38200.0,1,1,19,12,0,4,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,49161600000000000,51,17,Partner,2,4,1
554,Graduate,44989.0,0,1,26,98,0,106,49,10,106,5,5,1,5,6,0,0,0,0,0,0,0,56592000000000000,47,369,Partner,1,3,1
555,Postgraduate,38443.0,1,1,58,32,0,5,0,0,1,2,1,0,3,7,0,0,0,0,0,0,0,13219200000000000,53,38,Partner,2,4,1
556,Undergraduate,38593.0,1,0,42,51,12,49,17,24,24,3,4,1,3,8,0,0,0,0,0,0,0,24969600000000000,43,177,Alone,1,2,1
557,Postgraduate,64413.0,0,1,27,200,5,44,0,10,20,1,5,1,5,5,0,0,0,0,0,0,0,28684800000000000,51,279,Partner,1,3,1
558,Postgraduate,36959.0,1,0,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,0,23328000000000000,40,62,Partner,1,3,1
559,Postgraduate,61996.0,0,1,27,1050,12,144,0,0,24,3,6,4,8,5,0,1,0,1,1,0,1,44409600000000000,44,1230,Partner,1,3,1
560,Graduate,51287.0,1,1,10,117,0,22,13,0,30,3,4,1,3,7,0,0,0,0,0,0,0,7689600000000000,53,182,Partner,2,4,1
561,Graduate,13260.0,1,1,48,9,4,17,10,2,7,4,3,0,3,8,0,0,0,0,0,0,0,26784000000000000,51,49,Partner,2,4,1
562,Postgraduate,47472.0,1,1,39,56,0,11,0,0,8,2,2,0,4,5,0,0,0,0,0,0,0,24710400000000000,55,75,Partner,2,4,1
563,Postgraduate,54603.0,1,1,85,145,13,46,17,2,4,6,4,2,4,7,0,0,0,0,0,0,0,30672000000000000,65,227,Partner,2,4,1
564,Postgraduate,45207.0,1,1,64,203,0,10,0,0,2,5,3,1,6,6,0,1,0,0,0,0,0,51494400000000000,47,215,Partner,2,4,1
565,Graduate,40689.0,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,40435200000000000,70,444,Partner,1,3,1
566,Undergraduate,47821.0,1,1,54,9,0,16,6,6,10,1,1,0,3,8,0,0,0,0,0,0,0,21772800000000000,54,47,Partner,2,4,1
567,Postgraduate,27450.0,0,0,57,37,12,23,8,11,52,1,2,1,3,7,0,0,0,0,0,0,0,38016000000000000,70,143,Partner,0,2,0
568,Graduate,39453.0,1,0,64,46,0,7,0,0,2,2,2,0,3,6,0,0,0,0,0,0,0,7516800000000000,38,55,Partner,1,3,1
569,Undergraduate,26850.0,1,1,10,31,1,13,7,2,9,4,2,1,4,4,0,0,0,0,0,0,0,6220800000000000,50,63,Partner,2,4,1
570,Graduate,79800.0,0,0,65,1060,21,530,32,0,224,1,5,11,5,3,1,0,1,1,0,0,1,55641600000000000,66,1867,Alone,0,1,0
571,Postgraduate,61794.0,0,1,74,264,47,188,54,47,11,2,4,4,10,2,0,0,0,0,0,0,0,24883200000000000,60,611,Partner,1,3,1
572,Graduate,53863.0,0,1,4,399,4,30,6,4,30,3,7,1,7,7,0,1,0,0,0,0,0,3715200000000000,66,473,Partner,1,3,1
573,Graduate,24221.0,0,0,94,8,9,9,2,5,22,1,1,1,3,4,0,0,0,0,0,0,0,27043200000000000,62,55,Partner,0,2,0
574,Postgraduate,39684.0,1,0,41,19,0,35,6,4,17,2,2,1,2,7,0,0,0,0,0,1,1,54000000000000000,37,81,Alone,1,2,1
575,Postgraduate,92163.0,0,0,25,817,183,797,106,163,20,0,5,11,5,2,0,0,1,1,0,0,1,48729600000000000,46,2086,Partner,0,2,0
576,Postgraduate,69882.0,0,0,94,292,127,635,132,127,165,1,3,7,9,1,0,0,0,0,0,0,0,19958400000000000,56,1478,Alone,0,1,0
577,Graduate,33178.0,1,0,9,12,6,2,11,2,16,1,1,0,3,4,0,0,0,0,0,0,0,12960000000000000,44,49,Partner,1,3,1
578,Postgraduate,59973.0,0,0,47,130,30,168,20,34,0,1,3,4,7,1,0,0,0,0,0,0,0,25142400000000000,49,382,Partner,0,2,0
579,Postgraduate,17459.0,1,0,12,6,4,16,3,10,30,3,3,1,2,7,0,0,0,0,0,0,1,24451200000000000,46,69,Partner,1,3,1
580,Graduate,23910.0,1,0,80,16,12,18,7,1,13,1,2,0,3,7,0,0,0,0,0,0,0,52790400000000000,52,67,Alone,1,2,1
581,Postgraduate,42169.0,1,1,20,19,0,9,0,0,2,2,1,0,3,8,0,0,0,0,0,0,0,21859200000000000,52,30,Partner,2,4,1
582,Undergraduate,26224.0,1,0,39,4,7,15,13,9,15,3,2,1,3,6,0,0,0,0,0,0,0,33696000000000000,43,63,Partner,1,3,1
583,Graduate,31089.0,1,0,57,31,3,31,2,8,4,3,3,0,4,8,0,0,0,0,0,0,0,58838400000000000,40,79,Partner,1,3,1
584,Graduate,30081.0,0,1,27,36,0,2,0,0,4,1,1,0,3,7,0,0,0,0,0,0,0,42595200000000000,60,42,Alone,1,2,1
585,Graduate,62807.0,0,1,83,526,28,135,10,21,99,3,5,3,12,5,0,0,0,0,0,0,0,57628800000000000,61,819,Partner,1,3,1
586,Graduate,72906.0,0,0,79,400,32,519,71,75,54,1,3,4,9,1,0,0,0,0,0,0,0,24624000000000000,66,1151,Alone,0,1,0
587,Postgraduate,61467.0,0,2,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,0,48988800000000000,73,594,Partner,2,4,1
588,Postgraduate,49618.0,1,1,77,80,3,26,4,2,14,4,3,1,3,7,0,0,0,0,0,0,0,44841600000000000,55,129,Partner,2,4,1
589,Postgraduate,21888.0,1,0,15,88,10,46,2,3,64,4,5,1,2,10,0,0,0,0,0,0,1,47260800000000000,35,213,Alone,1,2,1
590,Graduate,42429.0,0,1,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,11923200000000000,48,67,Alone,1,2,1
591,Graduate,26150.0,2,1,61,5,1,13,3,5,1,1,1,0,3,7,0,0,0,0,0,0,0,41040000000000000,65,28,Alone,3,4,1
592,Undergraduate,30801.0,0,1,23,8,4,5,15,2,11,2,1,0,3,7,0,0,0,0,0,0,0,52790400000000000,46,45,Partner,1,3,1
593,Graduate,81168.0,0,0,84,410,0,592,147,22,22,1,6,4,7,3,0,0,0,1,0,0,0,4579200000000000,56,1193,Partner,0,2,0
594,Postgraduate,26877.0,0,0,74,101,13,76,20,18,40,2,3,1,6,6,0,0,0,0,0,0,0,27129600000000000,52,268,Alone,0,1,0
595,Postgraduate,45006.0,0,0,90,162,25,53,16,0,10,1,3,1,7,3,0,0,0,0,0,0,0,29894400000000000,77,266,Alone,0,1,0
596,Undergraduate,18978.0,1,0,41,2,8,1,4,7,15,1,1,0,3,8,0,0,0,0,0,0,0,48816000000000000,48,37,Partner,1,3,1
597,Graduate,22574.0,2,1,28,25,0,8,2,0,2,2,2,0,3,7,0,0,0,0,0,0,0,21081600000000000,54,37,Partner,3,5,1
598,Postgraduate,48240.0,0,0,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,1,51580800000000000,52,882,Alone,0,1,0
599,Graduate,45837.0,1,1,88,215,13,87,17,17,24,5,6,2,5,7,0,0,0,0,0,0,0,29203200000000000,47,373,Partner,2,4,1
600,Postgraduate,35791.0,2,1,94,27,0,5,0,0,3,2,1,0,3,8,0,0,0,0,0,0,0,36201600000000000,56,35,Alone,3,4,1
601,Postgraduate,162397.0,1,1,31,85,1,16,2,1,2,0,0,0,1,1,0,0,0,0,0,0,0,33782400000000000,45,107,Partner,2,4,1
602,Graduate,54162.0,1,1,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,0,40435200000000000,43,42,Alone,2,3,1
603,Postgraduate,30522.0,0,1,6,179,8,83,19,11,26,5,1,2,9,2,0,0,0,0,0,0,0,58838400000000000,61,326,Partner,1,3,1
604,Postgraduate,54456.0,0,1,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,30499200000000000,60,404,Partner,1,3,1
605,Graduate,31632.0,0,0,92,17,8,12,11,15,32,1,2,1,2,7,0,0,0,0,0,0,0,30240000000000000,50,95,Alone,0,1,0
606,Graduate,72298.0,0,0,52,625,35,169,58,17,35,1,4,3,6,1,0,1,1,0,0,0,0,9590400000000000,72,939,Alone,0,1,0
607,Undergraduate,36975.0,1,0,50,10,6,11,0,4,2,1,1,0,3,7,0,0,0,0,0,0,0,15811200000000000,43,33,Alone,1,2,1
608,Undergraduate,72635.0,0,0,54,390,22,323,104,35,107,1,6,8,6,3,0,0,0,1,0,0,0,33782400000000000,66,981,Partner,0,2,0
609,Graduate,13624.0,1,0,93,10,2,15,2,1,6,2,2,0,3,6,0,0,0,0,0,0,0,45360000000000000,45,36,Partner,1,3,1
610,Graduate,84196.0,0,1,56,215,63,507,231,31,190,1,8,4,7,3,0,0,0,0,0,0,0,33782400000000000,46,1237,Alone,1,2,1
611,Graduate,70971.0,0,1,28,1001,17,572,93,125,17,7,11,11,5,7,0,0,0,0,0,0,1,55814400000000000,61,1825,Partner,1,3,1
612,Postgraduate,34487.0,1,1,94,19,18,33,24,1,8,3,3,0,3,9,0,0,0,0,0,0,0,57110400000000000,44,103,Alone,2,3,1
613,Graduate,28769.0,1,0,76,41,5,129,10,3,3,3,4,1,4,9,0,0,0,0,0,0,0,48211200000000000,44,191,Alone,1,2,1
614,Postgraduate,69084.0,1,0,43,1181,107,199,39,30,30,2,7,3,13,8,0,0,0,0,0,0,0,19180800000000000,51,1586,Partner,1,3,1
615,Postgraduate,65488.0,0,0,46,603,45,207,36,18,54,1,3,4,6,1,0,0,0,0,0,0,0,1382400000000000,63,963,Partner,0,2,0
616,Undergraduate,62466.0,0,1,13,129,129,259,168,121,83,5,6,3,12,4,0,0,0,0,0,0,0,14256000000000000,51,889,Partner,1,3,1
617,Undergraduate,32218.0,0,0,27,10,24,15,13,1,30,1,2,1,3,7,1,0,0,0,0,0,1,11577600000000000,61,93,Alone,0,1,0
618,Graduate,83917.0,0,0,12,514,22,732,42,198,79,1,6,7,7,3,0,0,0,0,0,0,1,37756800000000000,48,1587,Alone,0,1,0
619,Graduate,46102.0,2,1,3,14,0,1,0,0,1,1,1,0,2,7,0,0,0,0,0,0,0,9590400000000000,59,16,Alone,3,4,1
620,Graduate,84574.0,0,0,72,387,20,713,38,54,163,1,9,11,11,5,0,0,0,0,0,0,0,33696000000000000,69,1375,Alone,0,1,0
621,Graduate,56181.0,0,1,6,121,103,69,8,44,48,1,4,2,7,4,0,0,0,0,0,0,0,46396800000000000,59,393,Partner,1,3,1
622,Postgraduate,63120.0,0,1,53,965,69,279,54,41,69,5,8,4,9,7,0,0,0,0,0,0,1,55209600000000000,71,1477,Alone,1,2,1
623,Graduate,73691.0,0,1,58,707,21,250,85,43,73,2,6,2,8,2,1,0,0,0,0,0,0,20304000000000000,50,1179,Partner,1,3,1
624,Graduate,63381.0,0,1,78,571,50,142,33,50,159,4,4,5,13,2,0,0,0,0,0,0,0,54604800000000000,61,1005,Partner,1,3,1
625,Postgraduate,76140.0,0,0,57,586,66,653,17,0,26,1,5,9,6,2,0,0,0,0,0,0,0,4060800000000000,73,1348,Partner,0,2,0
626,Postgraduate,62859.0,0,1,37,1063,89,102,16,12,25,4,9,4,6,6,0,0,0,0,0,0,0,47174400000000000,62,1307,Alone,1,2,1
627,Graduate,45906.0,0,1,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,0,36115200000000000,57,486,Alone,1,2,1
628,Postgraduate,77632.0,0,0,73,1200,105,758,0,42,147,1,4,2,6,2,0,1,1,0,0,0,1,41126400000000000,74,2252,Partner,0,2,0
629,Postgraduate,46463.0,1,1,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,0,27216000000000000,50,235,Partner,2,4,1
630,Graduate,105471.0,0,0,36,1009,181,104,202,21,207,0,9,8,13,3,0,0,1,1,0,0,1,45273600000000000,51,1724,Partner,0,2,0
631,Postgraduate,55282.0,1,0,9,125,6,73,8,4,19,1,3,1,6,4,0,0,0,0,0,0,0,17107200000000000,51,235,Alone,1,2,1
632,Postgraduate,78710.0,0,1,42,721,0,152,119,50,50,3,7,6,12,4,0,0,0,0,0,0,0,3196800000000000,44,1092,Partner,1,3,1
633,Graduate,66886.0,0,1,28,315,4,62,41,31,146,2,7,1,7,5,0,0,0,0,0,0,0,24710400000000000,63,599,Partner,1,3,1
634,Postgraduate,98777.0,0,0,23,1000,19,711,125,115,38,0,4,6,9,1,0,1,0,0,0,0,0,11404800000000000,61,2008,Alone,0,1,0
635,Graduate,29103.0,1,0,38,16,0,17,6,3,6,2,1,0,3,9,0,0,0,0,0,0,0,57974400000000000,36,48,Partner,1,3,1
636,Graduate,67445.0,0,1,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,0,59270400000000000,47,1174,Partner,1,3,1
637,Postgraduate,50616.0,0,1,71,30,2,25,0,1,9,1,1,1,4,2,0,0,0,0,0,0,0,6652800000000000,71,67,Partner,1,3,1
638,Graduate,49431.0,0,1,9,219,3,100,26,0,17,2,7,1,5,8,0,0,0,0,0,0,0,60048000000000000,66,365,Alone,1,2,1
639,Graduate,153924.0,0,0,81,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12268800000000000,46,6,Alone,0,1,0
640,Graduate,61278.0,0,1,87,111,3,28,2,6,15,2,3,1,4,6,0,0,0,0,0,0,0,15206400000000000,68,165,Partner,1,3,1
